Task,Type,Question,QuestionText,TimingColumn,AnswerColumn,Score,ChoiceText,ChoiceCode,RawValue,ValueNote,AbsoluteError
1,Training,1,Is the highlighted cluster (including leaves) mostly positive or mostly negative?,Q2.2_3,Q2.5,1,Mostly Positive,1,6.58,Cluster average,
1,Training,1,Is the highlighted cluster (including leaves) mostly positive or mostly negative?,Q2.2_3,Q2.5,0,Mostly Negative,2,,,
1,Training,1,Is the highlighted cluster (including leaves) mostly positive or mostly negative?,Q2.2_3,Q2.5,0,Unsure,3,,,
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,1,1,1,Height,3
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,2,2,2,Height,2
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,3,3,3,Height,1
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,1,4,4,4,Height,0
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,5,5,5,Height,1
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,6,6,6,Height,2
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,7,7,7,Height,3
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,8,8,8,Height,4
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,9,9,9,Height,5
1,Training,2,What is the height of the tree?,Q2.7_3,Q2.9_1,0,10,10,10,Height,6
1,Timed,3,Which of the highlighted elements has the highest value?,Q3.2_3,Q3.4,0,"(1, 5)",1,-2.174,Node value,5.265
1,Timed,3,Which of the highlighted elements has the highest value?,Q3.2_3,Q3.4,1,"(4, 1)",2,3.091,Node value,0
1,Timed,3,Which of the highlighted elements has the highest value?,Q3.2_3,Q3.4,0,"(5, 13)",3,-0.655,Node value,3.746
1,Timed,3,Which of the highlighted elements has the highest value?,Q3.2_3,Q3.4,0,Unsure,4,,,
1,Timed,4,Is the highlighted cluster (including leaves) mostly positive or mostly negative?,Q3.5_3,Q3.7,1,Mostly Positive,1,0.4269375,Cluster average,
1,Timed,4,Is the highlighted cluster (including leaves) mostly positive or mostly negative?,Q3.5_3,Q3.7,0,Mostly Negative,2,,,
1,Timed,4,Is the highlighted cluster (including leaves) mostly positive or mostly negative?,Q3.5_3,Q3.7,0,Unsure,3,,,
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,1,1,1,Height,6
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,2,2,2,Height,5
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,3,3,3,Height,4
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,4,4,4,Height,3
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,5,5,5,Height,2
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,6,6,6,Height,1
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,1,7,7,7,Height,0
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,8,8,8,Height,1
1,Timed,5,What is the height of the tree?,Q3.8_3,Q3.10,0,9,9,9,Height,2
