ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8,Q2.9_1,Q2.10,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6,Q3.7,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.9,Q3.10,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3,Q4.4,Q4.5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.7,Q4.8,Q4.9,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7,Q5.8_1,Q5.8_2,Q5.8_3,Q5.8_4,Q5.9,Q5.10,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3,Q6.4,Q6.5,Q6.6_1,Q6.6_2,Q6.6_3,Q6.6_4,Q6.7,Q6.8,Q6.9,Q7.1,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.9,Q7.10,Q7.11_1,Q7.11_2,Q7.11_3,Q7.11_4,Q7.12,Q7.13,Q7.14_1,Q7.14_2,Q7.14_3,Q7.14_4,Q7.15,Q7.16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Tree Terminology\\ This survey uses basic tree terminology. Some of these terms\ are provided for...,Visualization Basics\\ This survey will ask you to interpret the following\ visualization:,All nodes are represented by circles. The\ root node in this visualization is outlined in\ white...,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"[ Toggle\ Help ]\\ \ If node A connects to node B, then node A is considered the\ parent of node...",${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Try to determine if the leaves in the cluster are more green\(positive) or more purple (negative)...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?-Height,Make sure you are accounting for the root and leaf nodes in\the height.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements has the highest value?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Choose the leaf with the most edges from it to the\root.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,Choose elements that have the same parent.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,"Find the cluster that contains each pair, and choose the\cluster furthest from the root.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,"If you had to divide this data into clusters or groups based\on this visualization, how many woul...",The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is least similar to its neighbors?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3-TEXT'},{'ImportId': 'QID4-4-TEXT'},{'ImportId': 'QID4-5-TEXT'},{'ImportId': 'QID4-6-TEXT'},{'ImportId': 'QID4-7-TEXT'},{'ImportId': 'QID76'},{'ImportId': 'QID9'},{'ImportId': 'QID77'},{'ImportId': 'QID106'},{'ImportId': 'QID156-1'},{'ImportId': 'QID156-2'},{'ImportId': 'QID156-3'},{'ImportId': 'QID156-4'},{'ImportId': 'QID108'},{'ImportId': 'QID113'},{'ImportId': 'QID114'},{'ImportId': 'QID155'},{'ImportId': 'QID158-1'},{'ImportId': 'QID158-2'},{'ImportId': 'QID158-3'},{'ImportId': 'QID158-4'},{'ImportId': 'QID117'},{'ImportId': 'QID118-1'},{'ImportId': 'QID159'},{'ImportId': 'QID18'},{'ImportId': 'QID78-1'},{'ImportId': 'QID78-2'},{'ImportId': 'QID78-3'},{'ImportId': 'QID78-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID79-1'},{'ImportId': 'QID79-2'},{'ImportId': 'QID79-3'},{'ImportId': 'QID79-4'},{'ImportId': 'QID17'},{'ImportId': 'QID15'},{'ImportId': 'QID82-1'},{'ImportId': 'QID82-2'},{'ImportId': 'QID82-3'},{'ImportId': 'QID82-4'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID169'},{'ImportId': 'QID162-1'},{'ImportId': 'QID162-2'},{'ImportId': 'QID162-3'},{'ImportId': 'QID162-4'},{'ImportId': 'QID131'},{'ImportId': 'QID132'},{'ImportId': 'QID163'},{'ImportId': 'QID161-1'},{'ImportId': 'QID161-2'},{'ImportId': 'QID161-3'},{'ImportId': 'QID161-4'},{'ImportId': 'QID129'},{'ImportId': 'QID130'},{'ImportId': 'QID160'},{'ImportId': 'QID170'},{'ImportId': 'QID25-1'},{'ImportId': 'QID25-2'},{'ImportId': 'QID25-3'},{'ImportId': 'QID25-4'},{'ImportId': 'QID28'},{'ImportId': 'QID29'},{'ImportId': 'QID36-1'},{'ImportId': 'QID36-2'},{'ImportId': 'QID36-3'},{'ImportId': 'QID36-4'},{'ImportId': 'QID34'},{'ImportId': 'QID35'},{'ImportId': 'QID42-1'},{'ImportId': 'QID42-2'},{'ImportId': 'QID42-3'},{'ImportId': 'QID42-4'},{'ImportId': 'QID40'},{'ImportId': 'QID41'},{'ImportId': 'QID133'},{'ImportId': 'QID165-1'},{'ImportId': 'QID165-2'},{'ImportId': 'QID165-3'},{'ImportId': 'QID165-4'},{'ImportId': 'QID141'},{'ImportId': 'QID142'},{'ImportId': 'QID166'},{'ImportId': 'QID167-1'},{'ImportId': 'QID167-2'},{'ImportId': 'QID167-3'},{'ImportId': 'QID167-4'},{'ImportId': 'QID150'},{'ImportId': 'QID151'},{'ImportId': 'QID168'},{'ImportId': 'QID43'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID61-1'},{'ImportId': 'QID61-2'},{'ImportId': 'QID61-3'},{'ImportId': 'QID61-4'},{'ImportId': 'QID62'},{'ImportId': 'QID58'},{'ImportId': 'QID60-1'},{'ImportId': 'QID60-2'},{'ImportId': 'QID60-3'},{'ImportId': 'QID60-4'},{'ImportId': 'QID59'},{'ImportId': 'QID63'},{'ImportId': 'QID67-1'},{'ImportId': 'QID67-2'},{'ImportId': 'QID67-3'},{'ImportId': 'QID67-4'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_1qVBoKVMPCXN6Lc,Default Response Set,,2015-03-29 17:21:09,2015-03-29 17:26:48,,,,,1,0,Firefox,36.0,Windows NT 6.1,1920x1080,17.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,5.867,10.028,14.229,2,1,1,Mostly Positive,,6.371,29.558,36.062,3,1,4,,1,6.997,8.689,9.445,2,1,"(5, 13)",2.294,8.988,9.762,3,1,Mostly Positive,2.282,4.093,5.094,2,1,13,1,10.369,10.369,11.819,1,1,"(3, 6)",,13.956,13.956,16.093,1,1,"(1, 3) and (2, 2)",,1,17.436,17.436,18.291,1,1,"(1, 5)",8.816,9.771,10.059,2,1,S,13.692,13.692,14.602,1,1,K and S,1,14.062,17.202,20.597,3,1,F and H,,3.894,4.899,7.125,2,1,4,1,1,13.429,14.358,14.612,2,1,"(1, 7) and (6, 8)",8.332,9.391,10.286,2,1,"(4, 1) and (5, 13)",6.528,6.528,7.493,1,1,"C, S",7.903,7.903,8.738,1,1,<em>Unsure</em>,6.208,10.111,10.884,3,1,11,,,-1
R_1DYAZDkRwcWCsv2,Default Response Set,,2015-03-29 17:20:46,2015-03-29 17:28:37,,,,,1,0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,0,0,14.954,0,1,1,Mostly Positive,,0,0,20.773,0,1,4,,1,0,0,12.653,0,1,"(4, 1)",0,0,12.174,0,1,Mostly Negative,6.391,27.802,35.179,5,1,7,1,0,0,12.01,0,1,"(3, 6)",,0,0,14.349,0,1,"(1, 3) and (2, 2)",,1,0,0,8.143,0,1,"(1, 5)",0,0,8.241,0,1,S,0,0,13.276,0,1,S and V,1,0,0,18.661,0,1,C and H,1,16.347,27.037,38.563,2,1,3,1,1,0,0,15.053,0,1,"(3, 9) and (6, 8)",0,0,44.577,0,1,"(4, 1) and (5, 13)",0,0,15.572,0,1,"C, K",0,0,14.327,0,1,T,8.962,11.51,17.521,3,1,3,,,-1
R_3iwJs3EarUKaRER,Default Response Set,,2015-03-29 17:20:52,2015-03-29 17:29:15,,,,,1,0,Chrome,41.0.2272.89,Windows NT 6.3,2560x1440,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36",1,1,1,1,4.296,4.296,6.502,1,1,1,Mostly Positive,,19.345,21.113,21.384,2,1,4,,1,5.893,16.108,17.842,3,1,"(4, 1)",12.444,15.983,17.272,2,1,Mostly Positive,2.41,43.99,44.822,4,1,6,1,10.999,27.887,29.368,2,1,"(3, 6)",,7.358,25.694,29.994,3,1,"(1, 3) and (2, 2)",,1,10.289,18.336,19.554,2,1,"(1, 5)",9.147,9.147,10.13,1,1,S,7.99,14.36,15.353,3,1,S and V,1,17.13,26.231,30.159,3,1,F and H,,2.972,7.741,9.234,2,1,4,1,1,10.853,33.674,34.436,3,1,"(1, 7) and (6, 8)",13.143,14.22,14.632,2,1,"(1, 5) and (5, 13)",9.074,9.074,9.867,1,1,"K, S",8.891,8.891,9.681,1,1,L,14.096,15.544,16.55,2,1,11,,,-1
R_2UYQn4taqYQ5Kp2,Default Response Set,,2015-03-29 17:21:43,2015-03-29 17:32:07,,,,,1,0,Chrome,41.0.2272.104,Macintosh,1680x1050,17.0.0,Browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 Safari/537.36",1,1,1,1,11.267,11.267,13.429,1,1,1,Mostly Positive,,14.527,14.527,53.837,1,1,4,,1,9.673,29.631,31.625,3,1,"(4, 1)",13.319,13.319,14.949,1,1,Mostly Positive,11.71,11.71,17.758,1,1,5,1,16.838,16.838,18.281,1,1,"(3, 6)",,7.851,7.851,8.903,1,1,"(1, 3) and (2, 2)",,1,11.543,11.543,12.663,1,1,"(1, 5)",7.799,7.799,8.782,1,1,S,27.809,77.971,79.794,2,1,S and V,1,36.368,65.365,66.725,2,1,F and H,,7.058,7.058,27.078,1,1,4,1,1,29.951,44.738,46.299,2,1,"(3, 9) and (6, 8)",15.309,15.309,16.775,1,1,"(1, 5) and (5, 13)",25.651,25.651,27.432,1,1,"K, S",18.337,18.337,20.462,1,1,O,9.434,16.711,42.22,2,1,10,,,-1
R_77EKzKiFYZMQtax,Default Response Set,,2015-03-29 17:26:22,2015-03-29 17:33:24,,,,,1,0,Firefox,36.0,Windows NT 6.1,1920x1080,16.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,7.289,20.554,23.298,4,1,1,Mostly Positive,,0,0,25.672,0,1,4,,1,9.41,9.41,10.666,1,1,"(4, 1)",10.141,10.141,11.545,1,1,Mostly Positive,14.214,20.439,21.158,4,1,8,1,13.518,14.248,16.657,2,1,"(3, 6)",,10.73,10.73,12.141,1,1,"(1, 3) and (2, 2)",,1,12.229,12.229,13.063,1,1,"(1, 5)",7.007,7.007,7.858,1,1,S,8.568,8.568,9.557,1,1,S and V,1,18.964,18.964,23.912,1,1,C and H,1,6.587,7.774,11.356,2,1,4,1,1,12.314,12.314,13.289,1,1,"(3, 9) and (6, 8)",10.917,11.494,12.289,2,1,"(4, 1) and (5, 13)",8.527,8.527,9.697,1,1,"C, K",9.075,9.075,9.866,1,1,L,13.473,14.777,16.087,2,1,11,,,-1
R_1M4CUWjSdhI2OnW,Default Response Set,,2015-03-29 17:32:20,2015-03-29 17:37:21,,,,,1,0,Firefox,33.0,Windows NT 6.3,1920x1080,17.0.0,,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0,1,1,1,1,13.881,13.881,15.879,1,1,1,Mostly Positive,,0,0,14.801,0,1,7,1,1,9.058,9.058,9.999,1,1,"(4, 1)",8.652,8.652,9.464,1,1,Mostly Positive,3.645,13.955,14.849,3,1,13,1,10.673,10.673,12.495,1,1,"(3, 6)",,5.869,5.869,6.645,1,1,"(1, 3) and (2, 2)",,1,11.103,11.103,11.98,1,1,"(1, 5)",6.109,6.109,6.817,1,1,S,9.842,9.842,10.921,1,1,S and V,1,41.462,42.376,48.628,2,1,F and H,,1.945,4.943,5.753,3,1,4,1,1,5.656,5.656,6.809,1,1,"(3, 9) and (6, 8)",9.805,9.805,10.502,1,1,"(4, 1) and (5, 13)",5.735,5.735,7.569,1,1,"C, S",17.881,17.881,18.633,1,1,T,10.974,12.366,13.429,2,1,11,,,-1
R_9TUZ1w5OcbLzgeB,Default Response Set,,2015-03-29 17:35:53,2015-03-29 17:42:16,,,,,1,0,Firefox,36.0,Windows NT 5.1,1280x1024,16.0.0,,Mozilla/5.0 (Windows NT 5.1; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,5.837,5.837,13.148,1,1,1,Mostly Negative,1,15.944,16.469,27.884,2,1,4,,1,9.098,9.098,10.195,1,1,"(4, 1)",13.414,13.414,14.541,1,1,Mostly Positive,11.773,85.982,86.909,9,1,7,1,16.451,16.451,17.425,1,1,"(3, 6)",,9.81,10.676,12.251,2,1,"(1, 3) and (2, 2)",,1,9.155,9.155,9.948,1,1,"(1, 5)",5.685,5.685,6.551,1,1,S,7.555,7.555,8.22,1,1,S and V,1,16.62,26.54,27.892,3,1,F and H,,6.572,7.724,9.038,2,1,4,1,1,14.249,15.313,15.636,2,1,"(3, 9) and (6, 8)",12.386,12.386,13.461,1,1,"(4, 1) and (5, 13)",13.142,13.142,14.118,1,1,"K, S",9.154,9.154,9.99,1,1,L,8.951,10.335,11.351,2,1,11,,,-1
R_1nTK5CZqBSb9QaT,Default Response Set,,2015-03-29 17:34:24,2015-03-29 17:44:47,,,,,1,0,Chrome,41.0.2272.101,Windows NT 6.1,1600x900,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,11.37,11.37,13.209,1,1,1,Mostly Positive,,8.709,61.488,77.743,3,1,5,1,1,9.032,18.172,20.028,2,1,"(4, 1)",6.067,6.067,7.726,1,1,Mostly Negative,18.966,21.083,22.631,2,1,4,1,1.633,41.689,42.974,2,1,"(3, 6)",,80.483,80.483,82.114,1,1,"(1, 3) and (2, 2)",,1,14.934,14.934,16.104,1,1,"(1, 5)",9.841,9.841,10.809,1,1,S,18.922,18.922,20.144,1,1,S and V,1,106.017,106.017,107.864,1,1,C and H,1,11.084,13.055,14.569,2,1,4,1,1,53.386,53.386,54.586,1,1,"(3, 9) and (6, 8)",13.83,13.83,15.073,1,1,"(4, 1) and (5, 13)",16.839,16.839,18.062,1,1,"C, K",12.146,12.146,13.431,1,1,L,9.702,10.937,11.868,2,1,11,,,-1
