ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8,Q2.9_1,Q2.10,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6,Q3.7,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.9,Q3.10,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3,Q4.4,Q4.5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.7,Q4.8,Q4.9,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7,Q5.8_1,Q5.8_2,Q5.8_3,Q5.8_4,Q5.9,Q5.10,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3,Q6.4,Q6.5,Q6.6_1,Q6.6_2,Q6.6_3,Q6.6_4,Q6.7,Q6.8,Q6.9,Q7.1,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.9,Q7.10,Q7.11_1,Q7.11_2,Q7.11_3,Q7.11_4,Q7.12,Q7.13,Q7.14_1,Q7.14_2,Q7.14_3,Q7.14_4,Q7.15,Q7.16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Tree Terminology\\ This survey uses basic tree terminology. Some of these terms\ are provided for...,Visualization Basics\\ This survey will ask you to interpret the following\ visualization:,"In this visualization, a tree is drawn above the columns of a\ heatmap. The cells in the heatmap...","The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"[ Toggle\ Help ]\\ \ If node A connects to node B, then node A is considered the\ parent of node...",${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Try to determine if the leaves in the cluster are more green\(positive) or more purple (negative)...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?-Height,Make sure you are accounting for the root and leaf nodes in\the height.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements has the highest value?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Choose the leaf with the most edges from it to the\root.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,Choose elements that have the same parent.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,"Find the cluster that contains each pair, and choose the\cluster furthest from the root.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,"If you had to divide this data into clusters or groups based\on this visualization, how many woul...",The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is least similar to its neighbors?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-sum'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedAvg'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedStdDev'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3-TEXT'},{'ImportId': 'QID4-4-TEXT'},{'ImportId': 'QID4-5-TEXT'},{'ImportId': 'QID4-6-TEXT'},{'ImportId': 'QID4-7-TEXT'},{'ImportId': 'QID76'},{'ImportId': 'QID9'},{'ImportId': 'QID77'},{'ImportId': 'QID106'},{'ImportId': 'QID156-1'},{'ImportId': 'QID156-2'},{'ImportId': 'QID156-3'},{'ImportId': 'QID156-4'},{'ImportId': 'QID108'},{'ImportId': 'QID113'},{'ImportId': 'QID114'},{'ImportId': 'QID155'},{'ImportId': 'QID158-1'},{'ImportId': 'QID158-2'},{'ImportId': 'QID158-3'},{'ImportId': 'QID158-4'},{'ImportId': 'QID117'},{'ImportId': 'QID118-1'},{'ImportId': 'QID159'},{'ImportId': 'QID18'},{'ImportId': 'QID78-1'},{'ImportId': 'QID78-2'},{'ImportId': 'QID78-3'},{'ImportId': 'QID78-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID79-1'},{'ImportId': 'QID79-2'},{'ImportId': 'QID79-3'},{'ImportId': 'QID79-4'},{'ImportId': 'QID17'},{'ImportId': 'QID15'},{'ImportId': 'QID82-1'},{'ImportId': 'QID82-2'},{'ImportId': 'QID82-3'},{'ImportId': 'QID82-4'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID169'},{'ImportId': 'QID162-1'},{'ImportId': 'QID162-2'},{'ImportId': 'QID162-3'},{'ImportId': 'QID162-4'},{'ImportId': 'QID131'},{'ImportId': 'QID132'},{'ImportId': 'QID163'},{'ImportId': 'QID161-1'},{'ImportId': 'QID161-2'},{'ImportId': 'QID161-3'},{'ImportId': 'QID161-4'},{'ImportId': 'QID129'},{'ImportId': 'QID130'},{'ImportId': 'QID160'},{'ImportId': 'QID170'},{'ImportId': 'QID25-1'},{'ImportId': 'QID25-2'},{'ImportId': 'QID25-3'},{'ImportId': 'QID25-4'},{'ImportId': 'QID28'},{'ImportId': 'QID29'},{'ImportId': 'QID36-1'},{'ImportId': 'QID36-2'},{'ImportId': 'QID36-3'},{'ImportId': 'QID36-4'},{'ImportId': 'QID34'},{'ImportId': 'QID35'},{'ImportId': 'QID42-1'},{'ImportId': 'QID42-2'},{'ImportId': 'QID42-3'},{'ImportId': 'QID42-4'},{'ImportId': 'QID40'},{'ImportId': 'QID41'},{'ImportId': 'QID133'},{'ImportId': 'QID165-1'},{'ImportId': 'QID165-2'},{'ImportId': 'QID165-3'},{'ImportId': 'QID165-4'},{'ImportId': 'QID141'},{'ImportId': 'QID142'},{'ImportId': 'QID166'},{'ImportId': 'QID167-1'},{'ImportId': 'QID167-2'},{'ImportId': 'QID167-3'},{'ImportId': 'QID167-4'},{'ImportId': 'QID150'},{'ImportId': 'QID151'},{'ImportId': 'QID168'},{'ImportId': 'QID43'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID61-1'},{'ImportId': 'QID61-2'},{'ImportId': 'QID61-3'},{'ImportId': 'QID61-4'},{'ImportId': 'QID62'},{'ImportId': 'QID58'},{'ImportId': 'QID60-1'},{'ImportId': 'QID60-2'},{'ImportId': 'QID60-3'},{'ImportId': 'QID60-4'},{'ImportId': 'QID59'},{'ImportId': 'QID63'},{'ImportId': 'QID67-1'},{'ImportId': 'QID67-2'},{'ImportId': 'QID67-3'},{'ImportId': 'QID67-4'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_1CevAH5lquON8tb,Default Response Set,,2015-03-29 17:22:57,2015-03-29 17:26:33,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,6.233,6.233,7.524,1,1,1,Mostly Positive,,7.117,7.117,8.681,1,1,5,1,1,10.209,10.209,11.467,1,1,"(1, 5)",8.855,8.855,9.91,1,1,Mostly Positive,2.107,8.075,9.227,2,1,8,1,7.441,7.441,9.103,1,1,"(3, 6)",,4.784,4.784,6.385,1,1,"(1, 3) and (2, 2)",,1,3.96,3.96,4.866,1,1,"(5, 13)",8.466,9.133,10.595,2,1,<em>Unsure</em>,5.925,5.925,6.712,1,1,S and V,1,15.564,35.038,37.967,6,1,F and H,,3.16,6.49,8.489,2,1,4,1,1,6.155,6.155,7.612,1,1,"(3, 9) and (6, 8)",4.401,4.401,5.6,1,1,"(1, 5) and (4, 1)",6.773,6.773,8.184,1,1,"K, S",5.804,5.804,7.094,1,1,L,8.47,10.333,11.374,2,1,11,,,-1
R_3gLXI2wn1UxerDl,Default Response Set,,2015-03-29 17:32:35,2015-03-29 17:43:29,,,,,1,0,12,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,5.556,23.574,24.89,5,1,1,Mostly Positive,,5.135,82.091,84.382,6,1,5,1,1,8.11,26.485,28.029,3,1,"(4, 1)",7.193,13.721,14.639,3,1,Mostly Positive,12.105,61.624,62.413,6,1,7,1,7.752,10.415,11.359,3,1,"(3, 6)",,3.238,55.5,56.874,7,1,"(1, 3) and (2, 2)",,1,25.224,27.52,28.707,3,1,"(1, 5)",8.173,9.276,11.221,2,1,S,10.393,11.712,14.151,2,1,S and V,1,13.138,87.426,88.784,9,1,F and H,,2.008,46.736,48.081,8,1,4,1,1,16.939,19.227,20.127,3,1,"(1, 7) and (6, 8)",4.948,11.867,13.071,3,1,<em>Unsure</em>,8.356,10.06,10.833,3,1,"K, S",2.91,33.07,34.807,4,1,O,7.64,19.393,20.771,3,1,11,,,-1
R_1H8FOZMMrAj4OSe,Default Response Set,,2015-03-29 17:47:22,2015-03-29 17:51:12,,,,,1,0,7,1.0,0.0,Firefox,36.0,Windows NT 6.1,1920x1200,16.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,5.921,10.47,11.587,3,1,1,Mostly Positive,,0,0,15.225,0,1,4,,1,5.525,5.525,6.727,1,1,"(5, 13)",12.584,13.474,14,2,1,Mostly Positive,8.104,9.859,10.887,2,1,10,1,6.291,6.291,7.623,1,1,"(3, 6)",,5.186,5.186,6.43,1,1,"(1, 3) and (2, 2)",,1,8.62,8.62,9.48,1,1,"(5, 13)",9.124,9.124,10.337,1,1,K,6.148,6.148,7.407,1,1,S and V,1,9.427,9.427,10.549,1,1,F and H,,2.206,4.486,6.112,3,1,4,1,1,5.476,5.476,6.306,1,1,"(3, 9) and (6, 8)",5.354,5.354,6.235,1,1,"(1, 5) and (4, 1)",10.994,10.994,11.828,1,1,"C, K",8.548,8.548,9.42,1,1,T,9.415,10.854,11.72,2,1,11,,,-1
R_w03P2LSlmmuvs6R,Default Response Set,,2015-03-29 17:52:06,2015-03-29 17:54:55,,,,,1,0,9,1.0,0.0,Firefox,36.0,Windows NT 6.3,1366x768,-1,Browser,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,0.693,2.455,3.981,2,1,1,Mostly Positive,,0,0,8.523,0,1,5,1,1,3.653,3.653,5.15,1,1,"(1, 5)",6.605,6.605,8.512,1,1,Mostly Positive,6.04,7.508,10.361,2,1,8,1,7.862,7.862,9.148,1,1,"(3, 6)",,3.867,3.867,5.079,1,1,"(1, 3) and (2, 2)",,1,5.357,5.357,8.605,1,1,"(5, 13)",11.263,11.263,13.291,1,1,K,6.836,6.836,8.52,1,1,S and V,1,8.467,8.467,10.373,1,1,F and H,,2.605,5.368,6.71,2,1,4,1,1,3.929,5.215,5.845,2,1,"(3, 9) and (6, 8)",4.327,4.327,5.799,1,1,"(1, 5) and (4, 1)",4.654,4.654,5.988,1,1,"K, S",6.66,6.66,8.367,1,1,O,8.383,9.801,12.887,2,1,11,,,-1
R_1gHCDJyO9ar3fwq,Default Response Set,,2015-03-29 17:54:52,2015-03-29 17:59:24,,,,,1,0,12,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.2,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,4.839,12.058,16.186,2,1,1,Mostly Positive,,9.687,9.687,14.049,1,1,5,1,1,6.033,6.033,7.733,1,1,"(4, 1)",9.154,9.154,11.29,1,1,Mostly Positive,5.2,7.537,8.781,3,1,8,1,5.71,5.71,7.14,1,1,"(3, 6)",,6.365,6.365,7.795,1,1,"(1, 3) and (2, 2)",,1,5.796,5.796,6.994,1,1,"(5, 13)",6.43,6.43,7.405,1,1,S,8.746,8.746,10.896,1,1,S and V,1,6.179,31.991,35.72,2,1,F and H,,3.769,5.707,8.657,2,1,3,1,1,7.063,7.063,8.154,1,1,"(3, 9) and (6, 8)",5,5,6.847,1,1,"(1, 5) and (5, 13)",5.87,5.87,6.895,1,1,"K, S",7.224,7.224,8.433,1,1,O,4.178,5.874,7.803,2,1,4,,,-1
R_eVPDLYhv1AHqNKV,Default Response Set,,2015-03-29 18:01:21,2015-03-29 18:12:46,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1920x1080,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,12.913,75.206,76.798,2,1,1,Mostly Positive,,6.698,60.504,63.011,2,1,5,1,1,15.658,49.308,50.419,2,1,"(4, 1)",11.582,11.582,12.866,1,1,Mostly Positive,10.461,12.518,13.932,2,1,8,1,14.008,14.008,28.035,1,1,"(3, 0)",1,14.011,14.011,15.416,1,1,"(1, 3) and (2, 2)",,1,29.31,29.31,30.913,1,1,"(1, 5)",23.924,23.924,25.071,1,1,S,8.918,8.918,10.322,1,1,S and V,1,16.694,16.694,37.286,1,1,C and H,1,10.235,14.068,15.719,4,1,3,1,1,31.482,31.482,32.616,1,1,"(3, 9) and (6, 8)",32.589,32.589,33.784,1,1,"(4, 1) and (5, 13)",18.011,18.011,19.344,1,1,"C, K",22.112,22.112,23.371,1,1,L,10.952,13.257,15.1,2,1,2,,,-1
R_d05Jtvu04FKmS5z,Default Response Set,,2015-03-29 18:08:33,2015-03-29 18:14:09,,,,,1,0,7,1.0,0.0,Chrome iPad,40.0.2214.73,iPad,768x1024,-1,,"Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) CriOS/40.0.2214.73 Mobile/11D167 Safari/9537.53 (000771)",1,1,1,1,16.047,29.082,34.186,2,1,1,Mostly Positive,,0,0,10.597,0,1,4,,1,9.151,9.151,11.871,1,1,"(1, 5)",7.358,7.358,9.077,1,1,Mostly Positive,7.72,7.72,11.041,1,1,8,1,14.394,35.65,39.11,3,1,"(3, 6)",,5.025,5.025,6.724,1,1,"(1, 3) and (2, 2)",,1,4.437,4.437,5.855,1,1,"(5, 13)",5.881,5.881,7.473,1,1,K,17.465,17.465,19.039,1,1,S and V,1,11.625,11.625,13.28,1,1,F and H,,3.227,12.136,14.866,2,1,3,1,1,8.86,8.86,10.287,1,1,"(1, 7) and (3, 9)",16.6,16.6,18.102,1,1,"(1, 5) and (4, 1)",6.537,6.537,7.939,1,1,"K, S",4.708,4.708,6.109,1,1,L,8.141,15.993,19.122,2,1,11,,,-1
R_2S2Y7Gyy9NLcdlU,Default Response Set,,2015-03-29 18:08:16,2015-03-29 18:15:13,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 5.1,1024x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,6.422,6.422,7.977,1,1,1,Mostly Positive,,6.256,17.782,21.394,2,1,8,1,1,12.562,22.927,23.932,3,1,<em>Unsure</em>,8.966,8.966,11.322,1,1,Mostly Positive,19.807,31.254,32.531,9,1,15,1,3.859,3.859,10.428,1,1,"(3, 0)",1,25.405,25.405,27.195,1,1,"(1, 3) and (2, 2)",,1,9.745,9.745,11.155,1,1,"(5, 13)",10.084,10.084,11.456,1,1,S,11.429,11.429,13.456,1,1,S and V,1,19.038,19.038,20.87,1,1,F and H,,26.139,33.053,35.14,4,1,4,1,1,16.562,16.562,17.868,1,1,"(1, 7) and (3, 9)",10.767,10.767,11.653,1,1,"(1, 5) and (5, 13)",22.772,22.772,23.855,1,1,"K, S",7.119,7.119,9.178,1,1,L,9.38,20.616,20.95,3,1,16,,,-1
