ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8,Q2.9_1,Q2.10,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6,Q3.7,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.9,Q3.10,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3,Q4.4,Q4.5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.7,Q4.8,Q4.9,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7,Q5.8_1,Q5.8_2,Q5.8_3,Q5.8_4,Q5.9,Q5.10,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3,Q6.4,Q6.5,Q6.6_1,Q6.6_2,Q6.6_3,Q6.6_4,Q6.7,Q6.8,Q6.9,Q7.1,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.9,Q7.10,Q7.11_1,Q7.11_2,Q7.11_3,Q7.11_4,Q7.12,Q7.13,Q7.14_1,Q7.14_2,Q7.14_3,Q7.14_4,Q7.15,Q7.16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Tree Terminology\\ This survey uses basic tree terminology. Some of these terms\ are provided for...,Visualization Basics\\ This survey will ask you to interpret the following\ visualization:,"In this visualization, a tree is drawn above the columns of a\ heatmap. The cells in the heatmap...","The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"[ Toggle\ Help ]\\ \ If node A connects to node B, then node A is considered the\ parent of node...",${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Try to determine if the leaves in the cluster are more green\(positive) or more purple (negative)...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?-Height,Make sure you are accounting for the root and leaf nodes in\the height.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements has the highest value?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Choose the leaf with the most edges from it to the\root.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,Choose elements that have the same parent.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,"Find the cluster that contains each pair, and choose the\cluster furthest from the root.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,"If you had to divide this data into clusters or groups based\on this visualization, how many woul...",The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is least similar to its neighbors?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-sum'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedAvg'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedStdDev'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3-TEXT'},{'ImportId': 'QID4-4-TEXT'},{'ImportId': 'QID4-5-TEXT'},{'ImportId': 'QID4-6-TEXT'},{'ImportId': 'QID4-7-TEXT'},{'ImportId': 'QID76'},{'ImportId': 'QID9'},{'ImportId': 'QID77'},{'ImportId': 'QID106'},{'ImportId': 'QID156-1'},{'ImportId': 'QID156-2'},{'ImportId': 'QID156-3'},{'ImportId': 'QID156-4'},{'ImportId': 'QID108'},{'ImportId': 'QID113'},{'ImportId': 'QID114'},{'ImportId': 'QID155'},{'ImportId': 'QID158-1'},{'ImportId': 'QID158-2'},{'ImportId': 'QID158-3'},{'ImportId': 'QID158-4'},{'ImportId': 'QID117'},{'ImportId': 'QID118-1'},{'ImportId': 'QID159'},{'ImportId': 'QID18'},{'ImportId': 'QID78-1'},{'ImportId': 'QID78-2'},{'ImportId': 'QID78-3'},{'ImportId': 'QID78-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID79-1'},{'ImportId': 'QID79-2'},{'ImportId': 'QID79-3'},{'ImportId': 'QID79-4'},{'ImportId': 'QID17'},{'ImportId': 'QID15'},{'ImportId': 'QID82-1'},{'ImportId': 'QID82-2'},{'ImportId': 'QID82-3'},{'ImportId': 'QID82-4'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID170'},{'ImportId': 'QID162-1'},{'ImportId': 'QID162-2'},{'ImportId': 'QID162-3'},{'ImportId': 'QID162-4'},{'ImportId': 'QID131'},{'ImportId': 'QID132'},{'ImportId': 'QID163'},{'ImportId': 'QID161-1'},{'ImportId': 'QID161-2'},{'ImportId': 'QID161-3'},{'ImportId': 'QID161-4'},{'ImportId': 'QID129'},{'ImportId': 'QID130'},{'ImportId': 'QID160'},{'ImportId': 'QID171'},{'ImportId': 'QID25-1'},{'ImportId': 'QID25-2'},{'ImportId': 'QID25-3'},{'ImportId': 'QID25-4'},{'ImportId': 'QID28'},{'ImportId': 'QID29'},{'ImportId': 'QID36-1'},{'ImportId': 'QID36-2'},{'ImportId': 'QID36-3'},{'ImportId': 'QID36-4'},{'ImportId': 'QID34'},{'ImportId': 'QID35'},{'ImportId': 'QID42-1'},{'ImportId': 'QID42-2'},{'ImportId': 'QID42-3'},{'ImportId': 'QID42-4'},{'ImportId': 'QID40'},{'ImportId': 'QID41'},{'ImportId': 'QID133'},{'ImportId': 'QID165-1'},{'ImportId': 'QID165-2'},{'ImportId': 'QID165-3'},{'ImportId': 'QID165-4'},{'ImportId': 'QID141'},{'ImportId': 'QID142'},{'ImportId': 'QID166'},{'ImportId': 'QID167-1'},{'ImportId': 'QID167-2'},{'ImportId': 'QID167-3'},{'ImportId': 'QID167-4'},{'ImportId': 'QID150'},{'ImportId': 'QID151'},{'ImportId': 'QID168'},{'ImportId': 'QID43'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID61-1'},{'ImportId': 'QID61-2'},{'ImportId': 'QID61-3'},{'ImportId': 'QID61-4'},{'ImportId': 'QID62'},{'ImportId': 'QID58'},{'ImportId': 'QID60-1'},{'ImportId': 'QID60-2'},{'ImportId': 'QID60-3'},{'ImportId': 'QID60-4'},{'ImportId': 'QID59'},{'ImportId': 'QID63'},{'ImportId': 'QID67-1'},{'ImportId': 'QID67-2'},{'ImportId': 'QID67-3'},{'ImportId': 'QID67-4'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_3MfGbN6MEmP0Enk,Default Response Set,,2015-03-29 17:21:54,2015-03-29 17:29:12,,,,,1,0,7,1.0,0.0,Firefox,36.0,Windows NT 6.1,1366x768,17.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,7.17,7.17,11.976,1,1,1,Mostly Positive,,3.138,12.526,14.169,2,1,3,1,1,11.579,13.166,14.478,2,1,"(5, 13)",10.078,11.382,12.21,2,1,Mostly Positive,3.496,15.893,19.048,4,1,7,1,8.192,12.254,13.894,2,1,"(3, 0)",1,9.948,12.512,13.619,3,1,"(1, 3) and (2, 2)",,1,5.304,8.561,9.758,2,1,"(5, 13)",11.426,11.426,12.745,1,1,<em>Unsure</em>,14.741,14.741,16.016,1,1,S and V,1,9.591,13.936,15.544,2,1,C and H,1,8.022,13.622,15.46,3,1,3,1,1,5.525,9.118,10.318,6,1,"(3, 9) and (6, 8)",9.952,13.25,14.506,3,1,"(1, 5) and (4, 1)",18.488,18.488,19.922,1,1,<em>Unsure</em>,15.346,16.626,17.449,2,1,O,10.491,13.926,15.156,3,1,5,,,-1
R_1QbFjRd6H95JNra,Default Response Set,,2015-03-29 17:25:29,2015-03-29 17:29:16,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1920x1080,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,6.378,6.378,8.365,1,1,1,Mostly Positive,,0,0,12.822,0,1,5,1,1,11.697,11.697,12.94,1,1,"(5, 13)",3.303,3.303,4.556,1,1,Mostly Positive,10.248,10.248,13.036,1,1,6,1,15.391,15.391,16.412,1,1,"(3, 6)",,10.58,10.58,12.084,1,1,"(1, 3) and (2, 2)",,1,3.804,3.804,5.566,1,1,"(5, 13)",6.596,6.596,7.779,1,1,K,4.923,4.923,5.996,1,1,S and V,1,4.039,4.726,7.954,2,1,C and H,1,6.225,6.225,8.549,1,1,3,1,1,9.332,9.332,10.384,1,1,"(3, 9) and (6, 8)",8.007,8.007,9.162,1,1,"(1, 5) and (4, 1)",6.027,6.027,7.112,1,1,"C, S",9.439,9.439,10.707,1,1,L,4.764,11.797,12.656,4,1,4,,,-1
R_2ardaoGTgCIIatC,Default Response Set,,2015-03-29 17:31:58,2015-03-29 17:36:22,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.2,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,5.61,21.337,22.224,5,1,1,Mostly Positive,,15.432,15.432,16.508,1,1,10,1,1,9.664,9.664,10.739,1,1,"(1, 5)",5.826,5.826,6.81,1,1,Mostly Negative,5.074,18.222,19.271,5,1,16,1,7.046,16.115,17.246,4,1,"(3, 6)",,7.439,7.439,8.654,1,1,"(1, 3) and (2, 2)",,1,4.927,5.971,7.491,2,1,"(5, 13)",7.258,8.833,10.068,2,1,C,12.499,12.499,13.518,1,1,S and V,1,8.899,12.903,15.579,3,1,F and H,,6.116,8.237,9.582,2,1,4,1,1,6.581,7.52,8.576,2,1,"(1, 7) and (6, 8)",5.43,6.95,8.17,2,1,"(4, 1) and (5, 13)",4.648,8.033,9.109,3,1,"K, S",7.951,9.014,10.096,2,1,L,2.277,6.426,7.675,3,1,10,,,-1
R_vOAxPP4vwwudSa5,Default Response Set,,2015-03-29 17:35:09,2015-03-29 17:42:21,,,,,1,0,7,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,8.624,11.424,12.878,3,1,1,Mostly Positive,,6.499,36.39,43.008,2,1,3,1,1,9.837,12.706,14.533,3,1,"(4, 1)",9.154,13.1,14.251,3,1,Mostly Positive,7.568,12.463,13.527,4,1,6,1,8.035,13.986,15.464,4,1,"(3, 6)",,2.882,32.882,35.676,8,1,"(0, 4) and (2, 2)",1,1,6.654,9.03,10.049,3,1,"(5, 13)",12.041,13.762,14.851,3,1,S,22.413,24.082,25.581,2,1,S and V,1,2.998,16.615,20.362,6,1,C and H,1,8.628,12.04,18.557,3,1,3,1,1,14.314,15.714,17.193,2,1,"(1, 7) and (6, 8)",8.983,11.482,12.799,2,1,"(4, 1) and (5, 13)",8.041,9.292,11.119,2,1,"C, K",3.901,9.438,11.312,4,1,O,7.234,11.807,13.357,3,1,3,,,-1
R_26nF3kaKDe73Rn0,Default Response Set,,2015-03-29 17:33:22,2015-03-29 17:46:37,,,,,1,0,11,1.0,0.0,Firefox,36.0,Windows NT 6.3,1366x768,16.0.0,,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,15.338,19.748,22.621,3,1,1,Mostly Positive,,8.915,76.567,84.595,6,1,4,,1,10.874,38.413,41.205,5,1,"(4, 1)",19.47,23.364,24.64,3,1,Mostly Positive,2.901,25.086,27.596,4,1,7,1,12.287,52.359,54.834,4,1,"(3, 6)",,18.671,80.726,82.014,6,1,"(1, 3) and (2, 2)",,1,13.144,20.931,25.223,3,1,"(5, 13)",14.175,17.996,19.536,3,1,K,16.682,34.086,35.251,4,1,S and V,1,14.646,36.041,38.39,5,1,F and H,,5.817,59.844,64.978,8,1,4,1,1,17.712,22.833,24.04,3,1,"(1, 7) and (3, 9)",11.647,15.013,16.303,3,1,"(1, 5) and (5, 13)",7.026,9.866,11.042,3,1,"K, S",12.516,16.36,17.634,3,1,O,4.014,38.859,40.58,3,1,6,,,-1
R_PS2OGYI40Oo5WCd,Default Response Set,,2015-03-29 17:48:07,2015-03-29 17:53:01,,,,,1,0,10,1.0,0.0,Firefox,36.0,Windows NT 6.1,1920x1080,17.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,2.59,2.59,4.027,1,1,1,Mostly Positive,,0,0,8.682,0,1,5,1,1,7.098,7.098,8.627,1,1,"(1, 5)",5.276,6.854,7.179,2,1,Mostly Positive,5.243,7.023,8.01,3,1,5,1,14.189,14.189,15.124,1,1,"(3, 6)",,9.702,9.702,10.667,1,1,"(1, 3) and (2, 2)",,1,8.108,8.108,8.974,1,1,"(5, 13)",8.892,8.892,9.843,1,1,S,19.745,19.745,21.081,1,1,S and V,1,8.442,39.883,40.921,2,1,F and H,,6.444,7.362,8.148,2,1,3,1,1,7.133,7.133,8.084,1,1,"(3, 9) and (6, 8)",8.486,8.486,10.142,1,1,"(1, 5) and (5, 13)",6.268,6.268,7.154,1,1,"K, S",13.948,13.948,14.887,1,1,<em>Unsure</em>,1.891,10.566,11.298,2,1,16,,,-1
R_3Jef3qcZrmKWTZ8,Default Response Set,,2015-03-29 17:48:01,2015-03-29 18:02:00,,,,,1,0,7,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1600x900,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,152.407,152.407,153.363,1,1,1,Mostly Positive,,0,0,8.683,0,1,5,1,1,6.703,11.753,13.975,2,1,"(5, 13)",10.51,10.51,11.419,1,1,Mostly Negative,14.279,16.118,17.124,2,1,5,1,9.655,9.655,13.874,1,1,"(3, 6)",,10.449,10.449,11.694,1,1,"(1, 3) and (2, 2)",,1,13.958,13.958,15.156,1,1,"(5, 13)",36.959,36.959,37.851,1,1,S,15.887,15.887,16.766,1,1,S and V,1,17.459,17.459,18.521,1,1,F and H,,41.834,43.843,45.169,2,1,4,1,1,316.935,316.935,318.32,1,1,"(3, 9) and (6, 8)",10.32,10.32,11.155,1,1,"(4, 1) and (5, 13)",14.82,14.82,15.91,1,1,"C, K",69.323,69.323,71.089,1,1,T,10.774,12.45,13.468,2,1,10,,,-1
R_2bTA6ACSb1LCYl6,Default Response Set,,2015-03-29 18:03:50,2015-03-29 18:09:24,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.0,1600x1200,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,7.568,13.841,15.106,4,1,1,Mostly Positive,,3.646,11.758,25.489,2,1,5,1,1,7.829,7.829,11.032,1,1,"(5, 13)",9.503,9.503,10.469,1,1,Mostly Positive,5.536,7.417,8.83,2,1,8,1,13.038,30.113,31.248,4,1,"(3, 6)",,12.11,20.448,22.082,2,1,"(1, 3) and (2, 2)",,1,6.087,6.087,7.376,1,1,"(5, 13)",6.102,6.102,7.146,1,1,C,16.506,16.506,17.827,1,1,S and V,1,7.921,16.203,19.35,2,1,F and H,,8.55,9.828,10.889,2,1,3,1,1,7.494,7.494,9.088,1,1,"(1, 7) and (3, 9)",3.893,3.893,5.063,1,1,"(1, 5) and (4, 1)",7.54,7.54,8.768,1,1,"C, S",8.68,9.108,17.916,2,1,L,2.677,5.373,6.493,3,1,3,,,-1
