ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8,Q2.9_1,Q2.10,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6,Q3.7,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.9,Q3.10,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3,Q4.4,Q4.5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.7,Q4.8,Q4.9,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7,Q5.8_1,Q5.8_2,Q5.8_3,Q5.8_4,Q5.9,Q5.10,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3,Q6.4,Q6.5,Q6.6_1,Q6.6_2,Q6.6_3,Q6.6_4,Q6.7,Q6.8,Q6.9,Q7.1,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.9,Q7.10,Q7.11_1,Q7.11_2,Q7.11_3,Q7.11_4,Q7.12,Q7.13,Q7.14_1,Q7.14_2,Q7.14_3,Q7.14_4,Q7.15,Q7.16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Tree Terminology\\ This survey uses basic tree terminology. Some of these terms\ are provided for...,Visualization Basics\\ This survey will ask you to interpret the following\ visualization:,All nodes are represented by circles. The\ root node in this visualization is the\ outer-most cir...,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"[ Toggle\ Help ]\\ \ If node A connects to node B, then node A is considered the\ parent of node...",${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Try to determine if the leaves in the cluster are more green\(positive) or more purple (negative)...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?-Height,Make sure you are accounting for the root and leaf nodes in\the height.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements has the highest value?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Choose the leaf with the most edges from it to the\root.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,Choose elements that have the same parent.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,"Find the cluster that contains each pair, and choose the\cluster furthest from the root.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,"If you had to divide this data into clusters or groups based\on this visualization, how many woul...",The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is least similar to its neighbors?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-sum'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedAvg'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedStdDev'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3-TEXT'},{'ImportId': 'QID4-4-TEXT'},{'ImportId': 'QID4-5-TEXT'},{'ImportId': 'QID4-6-TEXT'},{'ImportId': 'QID4-7-TEXT'},{'ImportId': 'QID76'},{'ImportId': 'QID9'},{'ImportId': 'QID77'},{'ImportId': 'QID106'},{'ImportId': 'QID156-1'},{'ImportId': 'QID156-2'},{'ImportId': 'QID156-3'},{'ImportId': 'QID156-4'},{'ImportId': 'QID108'},{'ImportId': 'QID113'},{'ImportId': 'QID114'},{'ImportId': 'QID155'},{'ImportId': 'QID158-1'},{'ImportId': 'QID158-2'},{'ImportId': 'QID158-3'},{'ImportId': 'QID158-4'},{'ImportId': 'QID117'},{'ImportId': 'QID118-1'},{'ImportId': 'QID159'},{'ImportId': 'QID18'},{'ImportId': 'QID78-1'},{'ImportId': 'QID78-2'},{'ImportId': 'QID78-3'},{'ImportId': 'QID78-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID79-1'},{'ImportId': 'QID79-2'},{'ImportId': 'QID79-3'},{'ImportId': 'QID79-4'},{'ImportId': 'QID17'},{'ImportId': 'QID15'},{'ImportId': 'QID82-1'},{'ImportId': 'QID82-2'},{'ImportId': 'QID82-3'},{'ImportId': 'QID82-4'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID169'},{'ImportId': 'QID162-1'},{'ImportId': 'QID162-2'},{'ImportId': 'QID162-3'},{'ImportId': 'QID162-4'},{'ImportId': 'QID131'},{'ImportId': 'QID132'},{'ImportId': 'QID163'},{'ImportId': 'QID161-1'},{'ImportId': 'QID161-2'},{'ImportId': 'QID161-3'},{'ImportId': 'QID161-4'},{'ImportId': 'QID129'},{'ImportId': 'QID130'},{'ImportId': 'QID160'},{'ImportId': 'QID170'},{'ImportId': 'QID25-1'},{'ImportId': 'QID25-2'},{'ImportId': 'QID25-3'},{'ImportId': 'QID25-4'},{'ImportId': 'QID28'},{'ImportId': 'QID29'},{'ImportId': 'QID36-1'},{'ImportId': 'QID36-2'},{'ImportId': 'QID36-3'},{'ImportId': 'QID36-4'},{'ImportId': 'QID34'},{'ImportId': 'QID35'},{'ImportId': 'QID42-1'},{'ImportId': 'QID42-2'},{'ImportId': 'QID42-3'},{'ImportId': 'QID42-4'},{'ImportId': 'QID40'},{'ImportId': 'QID41'},{'ImportId': 'QID133'},{'ImportId': 'QID165-1'},{'ImportId': 'QID165-2'},{'ImportId': 'QID165-3'},{'ImportId': 'QID165-4'},{'ImportId': 'QID141'},{'ImportId': 'QID142'},{'ImportId': 'QID166'},{'ImportId': 'QID167-1'},{'ImportId': 'QID167-2'},{'ImportId': 'QID167-3'},{'ImportId': 'QID167-4'},{'ImportId': 'QID150'},{'ImportId': 'QID151'},{'ImportId': 'QID168'},{'ImportId': 'QID43'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID61-1'},{'ImportId': 'QID61-2'},{'ImportId': 'QID61-3'},{'ImportId': 'QID61-4'},{'ImportId': 'QID62'},{'ImportId': 'QID58'},{'ImportId': 'QID60-1'},{'ImportId': 'QID60-2'},{'ImportId': 'QID60-3'},{'ImportId': 'QID60-4'},{'ImportId': 'QID59'},{'ImportId': 'QID63'},{'ImportId': 'QID67-1'},{'ImportId': 'QID67-2'},{'ImportId': 'QID67-3'},{'ImportId': 'QID67-4'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_25tMlkx0LAQHnqo,Default Response Set,,2015-03-29 17:22:11,2015-03-29 17:30:23,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,6.963,21.499,22.569,4,1,1,Mostly Positive,,2.187,65.353,66.237,6,1,4,,1,8.19,30.955,31.792,5,1,"(5, 13)",7.54,9.438,10.118,3,1,Mostly Positive,9.074,29.204,29.819,4,1,9,1,5.383,7.329,8.157,3,1,"(0, 2)",1,6.513,10.506,11.776,3,1,"(1, 3) and (2, 2)",,1,6.242,8.069,8.823,3,1,"(5, 13)",4.678,5.531,6.252,2,1,K,4.927,29.518,30.536,5,1,S and V,1,2.511,28.821,29.561,6,1,F and H,,3.488,31.428,32.351,11,1,4,1,1,5.953,10.394,11.148,4,1,"(3, 9) and (6, 8)",7.855,10.03,10.689,3,1,"(4, 1) and (5, 13)",8.52,10.974,11.725,3,1,"C, K",7.655,12.182,12.992,3,1,L,4.8,23.176,23.822,4,1,19,,,-1
R_vq71oQyy45dYJy1,Default Response Set,,2015-03-29 17:22:19,2015-03-29 17:31:01,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,13.008,13.008,18.047,1,1,1,Mostly Positive,,4.68,54.821,61.813,2,1,7,1,1,8.226,8.226,9.945,1,1,"(4, 1)",6.904,6.904,8.499,1,1,Mostly Positive,15.446,27.507,29.956,6,1,20,1,14.828,36.34,38.065,2,1,"(0, 2)",1,26.009,26.009,28.946,1,1,"(0, 4) and (1, 3)",1,1,11.329,11.329,12.47,1,1,"(5, 13)",6.652,6.652,8.141,1,1,K,5.408,5.408,17.504,1,1,S and V,1,7.856,7.856,12.702,1,1,F and H,,9.313,11.083,15.286,2,1,4,1,1,9.702,9.702,16.877,1,1,"(1, 7) and (3, 9)",12.862,12.862,14.434,1,1,"(1, 5) and (4, 1)",21.316,25.915,27.423,2,1,"C, S",5.204,15.389,19.223,2,1,O,3.004,23.642,24.891,2,1,20,,,-1
R_3PgFKIO61fhAfeh,Default Response Set,,2015-03-29 17:23:12,2015-03-29 17:34:50,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,1.652,25.04,26.367,9,1,1,Mostly Positive,,1.839,4.483,7.05,2,1,6,1,1,1.61,11.875,13.468,6,1,"(5, 13)",1.644,11.903,13.226,5,1,Mostly Positive,1.943,44.442,45.941,9,1,10,1,3.032,67.576,72.582,18,1,"(3, 0)",1,2.922,43.8,45.023,14,1,"(1, 3) and (2, 2)",,1,1.779,14.022,15.41,5,1,"(1, 5)",1.358,16.692,18.132,7,1,S,1.217,11.316,12.566,6,1,K and S,1,1.947,26.771,30.107,11,1,<em>Unsure</em>,1,4.186,14.797,19.394,5,1,4,1,1,1.727,50.997,51.627,21,1,"(1, 7) and (3, 9)",2.969,26.923,30.478,6,1,"(4, 1) and (5, 13)",11.103,55.974,57.278,15,1,"K, S",2.772,13.272,15.338,4,1,L,2.541,66.388,68.024,12,1,11,,,-1
R_1IhliPn2Eok0Orb,Default Response Set,,2015-03-29 17:38:53,2015-03-29 17:46:23,,,,,1,0,5,1.0,0.0,Firefox,36.0,Windows NT 6.1,1920x1080,17.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,19.799,22.143,26.419,2,1,1,Mostly Positive,,0,0,22.309,0,1,6,1,1,12.125,12.125,13.46,1,1,"(4, 1)",8.392,8.392,9.617,1,1,Mostly Negative,15.543,17.101,18.65,2,1,12,1,5.984,5.984,17.872,1,1,"(3, 0)",1,14.265,14.265,16.057,1,1,"(1, 3) and (2, 2)",,1,5.605,5.605,6.821,1,1,"(4, 1)",4.722,4.722,6.476,1,1,C,15.162,15.162,23.505,1,1,S and V,1,7.081,26.754,30.246,3,1,C and H,1,7.903,9.381,14.264,2,1,4,1,1,13.284,13.284,15.392,1,1,"(3, 9) and (6, 8)",7.791,7.791,10.894,1,1,"(4, 1) and (5, 13)",5.541,5.541,6.577,1,1,"C, K",10.273,24.65,26.385,4,1,T,17.49,24.513,25.952,4,1,17,,,-1
R_0dkeqhWcTjAZ6XX,Default Response Set,,2015-03-29 17:36:53,2015-03-29 17:48:41,,,,,1,0,7,1.0,0.0,Chrome,16.0.912.77,Windows NT 6.1,1366x768,11.3.300,Browser,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.7 (KHTML, like Gecko) RockMelt/0.16.91.483 Chrome/16.0.912.77 Safari/535.7",1,1,1,1,8.678,23.434,25.445,3,1,1,Mostly Positive,,9.248,9.248,14.301,1,1,5,1,1,30.739,30.739,32.015,1,1,<em>Unsure</em>,8.639,8.639,10.445,1,1,Mostly Positive,13.671,17.067999999999998,18.888,2,1,12,1,9.76,29.654,32.265,3,1,<em>Unsure</em>,1,5.872,42.604,44.746,3,1,"(1, 3) and (2, 2)",,1,19.905,19.905,21.972,1,1,"(5, 13)",5.339,33.744,35.028,3,1,S,10.42,10.42,11.702,1,1,S and V,1,11.578,11.578,14.162,1,1,C and H,1,5.758,10.596,20.472,2,1,4,1,1,21.858,21.858,24.281,1,1,"(3, 9) and (6, 8)",27.275,27.275,28.463,1,1,"(4, 1) and (5, 13)",21.356,21.356,22.302,1,1,"C, K",23.844,23.844,25.034,1,1,O,13.01,16.405,18.329,2,1,11,,,-1
R_5BWF1xvHubsKfJL,Default Response Set,,2015-03-29 17:43:21,2015-03-29 17:49:14,,,,,1,0,5,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1920x1080,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,6.668,6.668,8.106,1,1,1,Mostly Positive,,32.335,33.918,34.794,3,1,3,1,1,6.457,6.457,7.681,1,1,"(4, 1)",10.121,12.622,13.513,2,1,Mostly Negative,12.258,14.132,17.197,2,1,8,1,6.951,22.297,31.303,3,1,"(3, 0)",1,14.519,37.785,39.574,4,1,"(0, 4) and (1, 3)",1,1,5.188,5.188,6.096,1,1,"(4, 1)",4.606,4.606,8.921,1,1,C,6.017,6.424,7.517,2,1,S and V,1,8.131,19.58,25.719,3,1,C and F,1,6.802,23.765,24.438,6,1,4,1,1,10.091,10.091,12.405,1,1,"(1, 7) and (3, 9)",11.43,11.43,12.304,1,1,"(1, 5) and (5, 13)",7.13,7.516,8.63,2,1,"K, S",5.817,5.817,8.67,1,1,L,9.19,10.571,11.262,2,1,7,,,-1
R_1qg1fLzWSYWJ5CK,Default Response Set,,2015-03-29 17:50:25,2015-03-29 17:55:38,,,,,1,0,10,1.0,0.0,Firefox,36.0,Windows NT 6.1,1920x1080,16.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,3.224,3.224,5.648,1,1,1,Mostly Positive,,0,0,12.586,0,1,4,,1,5.862,5.862,7.196,1,1,"(4, 1)",9.793,9.793,11.613,1,1,Mostly Negative,11.881,13.455,17.212,2,1,7,1,32.035,32.035,34.117,1,1,"(3, 6)",,7.613,7.613,8.368,1,1,"(1, 3) and (2, 2)",,1,19.295,19.295,20.469,1,1,"(1, 5)",16.452,16.452,17.146,1,1,S,7.986,7.986,9.189,1,1,S and V,1,7.549,16.313,18.328,2,1,F and H,,9.917,12.601,13.57,3,1,4,1,1,5.334,5.334,6.524,1,1,"(3, 9) and (6, 8)",4.499,4.499,5.509,1,1,"(4, 1) and (5, 13)",13.914,13.914,15.172,1,1,"C, K",3.556,3.556,4.577,1,1,T,6.786,8.327,9.169,3,1,11,,,-1
R_1LRJRJYNqZM9Gr1,Default Response Set,,2015-03-29 18:02:55,2015-03-29 18:08:55,,,,,1,0,9,1.0,0.0,Chrome,41.0.2272.104,Macintosh,1440x900,17.0.0,Browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 Safari/537.36",1,1,1,1,28.345,28.345,29.141,1,1,1,Mostly Positive,,0,0,48.941,0,1,4,,1,19.853,19.853,21.157,1,1,"(5, 13)",18.734,18.734,20.568,1,1,Mostly Positive,11.174,24.87,26.796,2,1,7,1,8.293,27.116,28.291,2,1,"(3, 6)",,5.031,5.031,6.99,1,1,"(1, 3) and (2, 2)",,1,7.281,7.281,9.357,1,1,"(1, 5)",3.547,3.547,7.03,1,1,S,4.809,5.833,6.163,2,1,S and V,1,28.772,28.772,31.14,1,1,C and H,1,6.944,6.944,12.124,1,1,3,1,1,9.981,9.981,12.798,1,1,"(3, 9) and (6, 8)",8.066,8.066,9.889,1,1,"(4, 1) and (5, 13)",13.198,13.198,14.167,1,1,"C, K",9.337,9.337,10.258,1,1,L,12.65,12.65,14.096,1,1,3,,,-1
