ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8,Q2.9_1,Q2.10,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6,Q3.7,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.9,Q3.10,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3,Q4.4,Q4.5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.7,Q4.8,Q4.9,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7,Q5.8_1,Q5.8_2,Q5.8_3,Q5.8_4,Q5.9,Q5.10,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3,Q6.4,Q6.5,Q6.6_1,Q6.6_2,Q6.6_3,Q6.6_4,Q6.7,Q6.8,Q6.9,Q7.1,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.9,Q7.10,Q7.11_1,Q7.11_2,Q7.11_3,Q7.11_4,Q7.12,Q7.13,Q7.14_1,Q7.14_2,Q7.14_3,Q7.14_4,Q7.15,Q7.16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Tree Terminology\\ This survey uses basic tree terminology. Some of these terms\ are provided for...,Visualization Basics\\ This survey will ask you to interpret the following\ visualization:,The root node in this visualization is the\ center-most circle. All other nodes are\ indicated by...,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"[ Toggle\ Help ]\\ \ If node A connects to node B, then node A is considered the\ parent of node...",${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Try to determine if the leaves in the cluster are more green\(positive) or more purple (negative)...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?-Height,Make sure you are accounting for the root and leaf nodes in\the height.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements has the highest value?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID171/QuestionText},Which of the highlighted elements is furthest away from the root?,Choose the leaf with the most edges from it to the\root.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID171/QuestionText},Which of the highlighted elements are siblings?,Choose elements that have the same parent.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,"Find the cluster that contains each pair, and choose the\cluster furthest from the root.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,"If you had to divide this data into clusters or groups based\on this visualization, how many woul...",The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is least similar to its neighbors?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-sum'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedAvg'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedStdDev'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3-TEXT'},{'ImportId': 'QID4-4-TEXT'},{'ImportId': 'QID4-5-TEXT'},{'ImportId': 'QID4-6-TEXT'},{'ImportId': 'QID4-7-TEXT'},{'ImportId': 'QID76'},{'ImportId': 'QID9'},{'ImportId': 'QID77'},{'ImportId': 'QID106'},{'ImportId': 'QID156-1'},{'ImportId': 'QID156-2'},{'ImportId': 'QID156-3'},{'ImportId': 'QID156-4'},{'ImportId': 'QID108'},{'ImportId': 'QID113'},{'ImportId': 'QID114'},{'ImportId': 'QID155'},{'ImportId': 'QID158-1'},{'ImportId': 'QID158-2'},{'ImportId': 'QID158-3'},{'ImportId': 'QID158-4'},{'ImportId': 'QID117'},{'ImportId': 'QID118-1'},{'ImportId': 'QID159'},{'ImportId': 'QID18'},{'ImportId': 'QID78-1'},{'ImportId': 'QID78-2'},{'ImportId': 'QID78-3'},{'ImportId': 'QID78-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID79-1'},{'ImportId': 'QID79-2'},{'ImportId': 'QID79-3'},{'ImportId': 'QID79-4'},{'ImportId': 'QID17'},{'ImportId': 'QID15'},{'ImportId': 'QID82-1'},{'ImportId': 'QID82-2'},{'ImportId': 'QID82-3'},{'ImportId': 'QID82-4'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID169'},{'ImportId': 'QID179-1'},{'ImportId': 'QID179-2'},{'ImportId': 'QID179-3'},{'ImportId': 'QID179-4'},{'ImportId': 'QID180'},{'ImportId': 'QID181'},{'ImportId': 'QID182'},{'ImportId': 'QID183-1'},{'ImportId': 'QID183-2'},{'ImportId': 'QID183-3'},{'ImportId': 'QID183-4'},{'ImportId': 'QID184'},{'ImportId': 'QID185'},{'ImportId': 'QID186'},{'ImportId': 'QID187'},{'ImportId': 'QID197-1'},{'ImportId': 'QID197-2'},{'ImportId': 'QID197-3'},{'ImportId': 'QID197-4'},{'ImportId': 'QID198'},{'ImportId': 'QID199'},{'ImportId': 'QID200-1'},{'ImportId': 'QID200-2'},{'ImportId': 'QID200-3'},{'ImportId': 'QID200-4'},{'ImportId': 'QID201'},{'ImportId': 'QID202'},{'ImportId': 'QID203-1'},{'ImportId': 'QID203-2'},{'ImportId': 'QID203-3'},{'ImportId': 'QID203-4'},{'ImportId': 'QID204'},{'ImportId': 'QID205'},{'ImportId': 'QID133'},{'ImportId': 'QID165-1'},{'ImportId': 'QID165-2'},{'ImportId': 'QID165-3'},{'ImportId': 'QID165-4'},{'ImportId': 'QID141'},{'ImportId': 'QID142'},{'ImportId': 'QID166'},{'ImportId': 'QID167-1'},{'ImportId': 'QID167-2'},{'ImportId': 'QID167-3'},{'ImportId': 'QID167-4'},{'ImportId': 'QID150'},{'ImportId': 'QID151'},{'ImportId': 'QID168'},{'ImportId': 'QID43'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID61-1'},{'ImportId': 'QID61-2'},{'ImportId': 'QID61-3'},{'ImportId': 'QID61-4'},{'ImportId': 'QID62'},{'ImportId': 'QID58'},{'ImportId': 'QID60-1'},{'ImportId': 'QID60-2'},{'ImportId': 'QID60-3'},{'ImportId': 'QID60-4'},{'ImportId': 'QID59'},{'ImportId': 'QID63'},{'ImportId': 'QID67-1'},{'ImportId': 'QID67-2'},{'ImportId': 'QID67-3'},{'ImportId': 'QID67-4'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_9ABWu2Lxs7CgmL7,Default Response Set,,2015-03-29 17:22:06,2015-03-29 17:27:55,,,,,1,0,10,1.0,0.0,Chrome,41.0.2272.104,Macintosh,1280x800,17.0.0,Browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 Safari/537.36",1,1,1,1,2.946,12.74,16.436,2,1,1,Mostly Positive,,8.443,8.443,29.403,1,1,4,,1,3.524,20.114,23.206,2,1,"(1, 5)",4.102,4.102,5.529,1,1,Mostly Positive,12.329,12.332,15.719,2,1,7,1,4.804,4.804,6.364,1,1,"(3, 6)",,5.967,5.967,7.8,1,1,"(1, 3) and (2, 2)",,1,4.184,4.184,5.481,1,1,"(1, 5)",3.984,3.984,5.541,1,1,S,9.57,9.57,11.115,1,1,S and V,1,5.009,42.812,49.214,6,1,F and H,,9.698,9.698,12.126,1,1,4,1,1,24.298,24.298,25.371,1,1,<em>Unsure</em>,7.388,7.388,8.417,1,1,"(1, 5) and (5, 13)",5.377,6.435,6.983,2,1,"C, S",3.673,3.673,5.276,1,1,L,4.832,4.832,7.198,1,1,4,,,-1
R_1j9g3yCnSwEgdRo,Default Response Set,,2015-03-29 17:27:22,2015-03-29 17:30:18,,,,,1,0,10,1.0,0.0,Firefox,36.0,Windows NT 6.3,1366x768,-1,Browser,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,1.747,1.747,3.85,1,1,1,Mostly Positive,,0,0,15.823,0,1,4,,1,3.509,4.915,5.414,2,1,"(5, 13)",2.939,2.939,4.386,1,1,<em>Unsure</em>,8.051,10.086,11.522,2,1,6,1,3.966,3.966,4.944,1,1,"(3, 6)",,3.95,3.95,5.542,1,1,"(1, 3) and (2, 2)",,1,5.941,5.941,7.178,1,1,"(1, 5)",3.864,3.864,4.587,1,1,S,6.325,7.558,8.178,2,1,S and V,1,5.419,11.793,15.445,2,1,F and H,,4.556,6.356,8.607,2,1,3,1,1,5.181,5.181,6.987,1,1,"(3, 9) and (6, 8)",5.119,5.119,6.355,1,1,"(4, 1) and (5, 13)",6.449,6.449,8.218,1,1,"K, S",5.934,7.105,7.577,2,1,O,8.504,12.918,14.933,5,1,6,,,-1
R_3OrnCDZVGN5pl5f,Default Response Set,,2015-03-29 17:25:27,2015-03-29 17:32:46,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,12.366,12.366,14.733,1,1,1,Mostly Positive,,9.064,20.537,31.454,2,1,4,,1,18.564,18.564,19.708,1,1,"(1, 5)",8.538,8.538,9.509,1,1,Mostly Negative,8.113,31.62,32.8,4,1,7,1,23.388,23.388,24.863,1,1,"(3, 6)",,16.634,16.634,18.617,1,1,"(1, 3) and (2, 2)",,1,12.529,12.529,13.629,1,1,"(1, 5)",9.528,9.528,10.785,1,1,S,15.762,15.762,16.85,1,1,K and V,1,5.288,31.646,33.096,5,1,F and H,,17.472,19.356,20.591,2,1,3,1,1,10.258,10.258,11.669,1,1,"(3, 9) and (6, 8)",17.499,17.499,18.817,1,1,"(4, 1) and (5, 13)",14.352,14.352,15.511,1,1,"C, S",17.763,17.763,18.794,1,1,T,5.479,7.846,8.838,2,1,3,,,-1
R_2YhT0jIM0ovyPIN,Default Response Set,,2015-03-29 17:29:02,2015-03-29 17:33:54,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1920x1080,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,2.598,2.598,3.984,1,1,1,Mostly Positive,,0.131,3.7,8.315,2,1,5,1,1,9.018,9.018,11.596,1,1,"(4, 1)",5.617,5.617,6.781,1,1,Mostly Positive,6.289,8.553,11.703,2,1,8,1,7.822,7.822,10.28,1,1,"(3, 6)",,7.672,7.672,9.266,1,1,"(0, 4) and (1, 3)",1,1,5.101,5.101,6.494,1,1,"(1, 5)",5.494,5.494,6.603,1,1,S,8.656,8.656,9.54,1,1,S and V,1,8.976,8.976,11.737,1,1,C and H,1,1.978,9.193,13.011,3,1,3,1,1,5.745,7.372,7.952,2,1,"(3, 9) and (6, 8)",5.943,5.943,7.124,1,1,"(4, 1) and (5, 13)",6.475,6.475,7.564,1,1,"C, S",7.939,7.939,10.262,1,1,L,6.991,9.039,10.304,2,1,6,,,-1
R_1JJkXZW5sWfknUp,Default Response Set,,2015-03-29 17:25:15,2015-03-29 17:36:08,,,,,1,0,10,1.0,0.0,Chrome,41.0.2272.101,Windows NT 5.1,1600x900,17.0.0,Browser,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,18.403,30.928,34.529,3,1,1,Mostly Positive,,32.211,32.211,46.829,1,1,5,1,1,5.637,55.877,57.516,4,1,"(4, 1)",28.028,28.028,33.086,1,1,Mostly Positive,19.7,21.379,22.663,2,1,8,1,13.403,13.403,14.936,1,1,"(3, 6)",,9.932,9.932,11.928,1,1,"(1, 3) and (2, 2)",,1,5.343,12.247,13.864,2,1,"(1, 5)",12.288,12.288,13.782,1,1,S,13.677,13.677,14.903,1,1,S and V,1,9.505,70.033,73.027,3,1,C and F,1,6.182,55.383,66.59,4,1,3,1,1,11.292,15.316,22.759,2,1,"(3, 9) and (6, 8)",11.224,11.95,13.519,2,1,"(4, 1) and (5, 13)",6.146,18.267,19.407,2,1,"K, S",5.488,19.488,21.13,2,1,L,5.908,28.843,30.379,3,1,7,,,-1
R_eVTRVkkLKrw2kdX,Default Response Set,,2015-03-29 17:28:51,2015-03-29 17:37:04,,,,,1,0,12,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,21.49,30.055,30.87,3,1,1,Mostly Positive,,19.136,31.227,34.79,3,1,7,1,1,28.698,37.686,38.594,2,1,"(5, 13)",12.771,12.771,13.921,1,1,<em>Unsure</em>,11.386,13.096,14.034,2,1,7,1,17.978,17.978,18.779,1,1,"(3, 6)",,9.578,9.578,10.815,1,1,"(1, 3) and (2, 2)",,1,11.725,26.262,27.052,2,1,"(1, 5)",13.286,13.286,14.182,1,1,S,6.973,6.973,8.315,1,1,S and V,1,0.872,39.026,39.973,6,1,F and H,,1.993,17.118,24.164,3,1,4,1,1,21.471,21.471,22.402,1,1,"(3, 9) and (6, 8)",1.454,15.533,16.699,2,1,"(1, 5) and (5, 13)",1.697,17.46,18.465,2,1,"K, S",1.45,14.669,15.624,2,1,O,1.414,13.479,16.32,3,1,8,,,-1
R_1OH2LftiMSiLH2P,Default Response Set,,2015-03-29 17:29:32,2015-03-29 17:39:08,,,,,1,0,8,1.0,0.0,Firefox,33.0,Windows NT 6.1,1920x1080,16.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0,1,1,1,1,4.481,4.481,8.115,1,1,1,Mostly Positive,,0,0,21.774,0,1,5,1,1,12.492,12.492,14.447,1,1,"(4, 1)",5.204,5.204,15.455,1,1,<em>Unsure</em>,3.489,11.635,13.64,3,1,7,1,14.369,14.369,17.59,1,1,"(3, 0)",1,18.317,26.723,30.678,2,1,"(1, 3) and (2, 2)",,1,12.502,58.431,59.876,3,1,"(5, 13)",13.502,13.502,19.718,1,1,K,38.453,38.453,40.54,1,1,S and V,1,16.645,16.645,18.334,1,1,F and H,,17.191,31.789,32.997,4,1,4,1,1,18.025,18.025,32.185,1,1,"(3, 9) and (6, 8)",21.185,21.185,22.861,1,1,"(1, 5) and (5, 13)",9.575,9.575,11.133,1,1,"C, K",24.591,24.591,26.279,1,1,L,7.97,10.246,11.397,2,1,6,,,-1
R_2xVMR92Bv0iK6fc,Default Response Set,,2015-03-29 17:34:29,2015-03-29 17:42:24,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,6.591,6.591,9.469,1,1,1,Mostly Negative,1,0.098,37.88,60.885,7,1,10,1,1,7.215,12.181,13.356,3,1,"(5, 13)",1.807,9.419,10.468,3,1,Mostly Negative,4.839,15.712,18.13,3,1,8,1,2.058,15.14,15.893,3,1,"(3, 6)",,7.894,7.894,8.719,1,1,"(1, 3) and (2, 2)",,1,4.875,17.253,18.218,8,1,"(5, 13)",3.02,14.651,15.668,3,1,S,1.649,5.359,6.38,3,1,S and V,1,1.748,32.687,37.544,9,1,F and H,,3.223,16.824,17.602,9,1,4,1,1,6.069,6.069,7.284,1,1,"(3, 9) and (6, 8)",9.277,9.277,10.455,1,1,"(4, 1) and (5, 13)",2.716,9.601,10.703,4,1,"K, S",1.535,6.175,7.312,2,1,O,2.345,10.159,10.812,4,1,7,,,-1
