Timestamp,Age Bracket,Familiarity,Highest Degree,Areas of Study,Frequency,Experience,Elements [Individual cells in the heatmap],Elements [Clusters or blocks of cells in the heatmap],Elements [Clusters of rows or columns (horizontal or vertical bands) in the heatmap],Elements [Clusters of rows or columns in the dendrogram/tree],Elements [Overview of values via heatmap],Elements [Overview of clustering via dendrogram],Elements [Other (please describe below)],Additional Elements,Languages,Tools,Preference,Type Frequency [Symmetric Matrices],Type Frequency [Asymmetric Matrices],Maximum Size,Minimum Size,Comments
3/9/2015 17:25:17,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)",Cancer Biology,Weekly,5 to 9 years,Infrequently,Always,Occasionally,Occasionally,Always,Occasionally,Never,,,,,Frequently,Frequently,100,10,
3/10/2015 7:08:13,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)",Cancer and developmental biology,Weekly,1 to 4 years,Occasionally,Always,Always,Always,Frequently,Frequently,Frequently,How many distinct populations of cells (ie columns or rows) there are by the dendogram,Not sure,"Cytoscape (http://www.cytoscape.org/), MeV (Tm4)",,Infrequently,Frequently,300 columns by 100 rows,30 columns by 20 rows,
3/10/2015 7:08:40,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)","Physics,  Math, Biology",Weekly,10 or more years,Frequently,Always,Always,Always,Always,Always,,,"R (using gplots heatmap.2, heatmap3, ggplot2, etc.), Python (using matplotlib, seaborn, etc.)",GENE-E (http://www.broadinstitute.org/cancer/software/GENE-E/),"Gene-E is nice because it provides rapid generation of clusters for very large datasets (i.e., whole transcriptomes), whereas most others require isolated gene sets in order to see any patterns. Also, Gene-E automatically orders things row-wise in a way that highlights patterns whereas the default row-wise ordering of most hierarchical cluster maps is pretty sad and masks real patterns. Otherwise, I use R & python rather than stand-alone software.",Frequently,Frequently,"Generally 10 columns by 20,000 rows (a whole transcriptome for 10 samples). Those are only marginally useful for seeing general trends, though. ",10 rows by 20 columns (an isolated gene set for 10 samples). This is where I really pay attention to labels and individual cells.,"I love heat maps because they let you see relative changes for individual cells (genes in a row, for example). However, hierarchical clustering is not the most sophisticated clustering method, and it doesn't allow for the display of higher dimensional relationships. I would love it if someone would marry the 2-D clustering maps of things like PCA or MDS or tSNE to a heat map that let you see how individual genes (rows) contribute to the clustering.  "
3/10/2015 10:30:25,I am 18 years or older.,I am not familiar with cluster heatmaps.,,,,,,,,,,,,,,,,,,,,
3/10/2015 10:31:18,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)",Computational Biology,Daily,10 or more years,Frequently,Always,Always,Always,Always,Always,,,"R (using gplots heatmap.2, heatmap3, ggplot2, etc.)",Cytoscape (http://www.cytoscape.org/),"R because that is what I'm most familiar and with R, one can exert a lot of control and I haven't used the tools for the most part. ",Infrequently,Frequently,hundreds x thousands,5 x 10 ,
3/10/2015 10:34:03,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)",Population Genetics,Weekly,10 or more years,Frequently,Always,Always,Always,Occasionally,Infrequently,,,"R (using gplots heatmap.2, heatmap3, ggplot2, etc.)",,R,Occassionaly,Occassionaly,100 x 1000,10 x 10,
3/10/2015 10:43:18,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Master's (MS, MA, MBA, etc.)",Biomedical Eng.,Yearly,1 to 4 years,Infrequently,Occasionally,Frequently,Infrequently,Infrequently,Infrequently,,,"Python (using matplotlib, seaborn, etc.), Javascript (using D3.js, Vega, Raphaël, etc.)",,D3 - works online.,Never,Never,N/A,N/A,I use heatmaps created by others but don't regularly create them myself at present.
3/10/2015 10:45:54,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)",molecular biology,Daily,5 to 9 years,Infrequently,Frequently,Occasionally,Frequently,Frequently,Always,,,"R (using gplots heatmap.2, heatmap3, ggplot2, etc.)","Java TreeView, TIGR MeV","R integrates best with my workflow and is much more flexible than using specialized tools. Occasionally, TreeView is a better choice because the heat maps allow for simultaneous detail and overview views that are interactive (I.e. you can select blocks or parts of a dendrogram for a closer look).",Occassionaly,Frequently,"Around 5000 r by 1000 c, but 5000 r by 10-100c is more common",10 by 10,
3/10/2015 11:10:15,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Master's (MS, MA, MBA, etc.)",computational biology,Weekly,10 or more years,Occasionally,Always,Always,Occasionally,Always,Occasionally,,,"R (using gplots heatmap.2, heatmap3, ggplot2, etc.), Python (using matplotlib, seaborn, etc.), Matlab (using clustergram, etc.)","Cytoscape (http://www.cytoscape.org/), Circos (http://circos.ca/)","without dendrograms: ggplot2 in R. 
with dendrograms: heatmap in R.
For simple data, it is easy to get a pretty figure quickly from modifying online examples",Frequently,Frequently,approx. 100 by 1000,not sure. approx 5 x 10,"for large matrices, communicating with a cluster heatmap is limited because of how ""raw"" the figure is (eg. like a silver stain protein gel).

in a publication it is better to make any points about clusterings with separate statistics or figures, and leave the cluster heatmap for the supplement.

on the other hand, it is a good exploratory tool and may be useful in communicating vague grant proposals where the aims are to explore different interesting features of the cluster heatmap.

"
3/10/2015 11:11:00,I am 18 years or older.,I have basic (or greater) familiarity with cluster heatmaps.,"Doctorate (PhD, MD, etc.)",Biology,Daily,10 or more years,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Clustered heatmaps paired with orthogonally-plotted data (heatmap or otherwise) to show how the patterns of data present in one dataset compare with some other measurement.,"R (using gplots heatmap.2, heatmap3, ggplot2, etc.)",,I prefer to write my own code; do my own exploration through a variety of means including heatmaps.,Frequently,Frequently,"1e7 x 1e5
",10 x 10,
